ResponseID,I am involved in defining standards / specifications for SBOMs,"I develop, compile, and/or apply educational resources related to SBOMs",I use the SBOMs of software projects I am involved in or third-party software components/dependencies
R_snAJV9CgPYPzZ4Z,1,1,1
R_3JlPsiR6G1zXGTP,1,1,1
